map,period,vehicle ID,start time,duration,tags
i80,0500-0515,286,0,20,lane-change
i80,0400-0415,7,8.100000000000001,20,lane-change
i80,0500-0515,361,15.100000000000001,20,lane-change
i80,0500-0515,363,16.3,20,lane-change
i80,0500-0515,284,16.4,20,lane-change
i80,0500-0515,353,22.0,20,lane-change
i80,0500-0515,362,23.4,20,lane-change
i80,0500-0515,398,29.700000000000003,20,lane-change
i80,0500-0515,401,30.9,20,lane-change
i80,0500-0515,2864,31.6,20,cutoff
i80,0500-0515,308,34.1,20,lane-change
i80,0500-0515,385,34.3,20,lane-change
i80,0400-0415,5,34.9,20,lane-change
i80,0500-0515,2864,36.6,20,lane-change
i80,0500-0515,441,36.7,20,cutoff
i80,0500-0515,342,37.1,20,lane-change
i80,0515-0530,10,37.3,20,lane-change
i80,0500-0515,2862,37.9,20,lane-change
i80,0500-0515,400,39.0,20,lane-change
i80,0400-0415,21,39.1,20,lane-change
i80,0400-0415,5,39.2,20,lane-change
i80,0500-0515,405,40.3,20,lane-change
i80,0400-0415,44,41.2,20,lane-change
i80,0500-0515,297,41.9,20,lane-change
i80,0500-0515,417,42.4,20,lane-change
i80,0400-0415,54,42.7,20,lane-change
i80,0500-0515,429,43.2,20,lane-change
i80,0400-0415,50,43.5,20,lane-change
i80,0500-0515,361,44.6,20,lane-change
i80,0400-0415,31,45.6,20,lane-change
i80,0400-0415,41,46.1,20,lane-change
i80,0500-0515,527,46.6,20,cutoff
i80,0500-0515,447,47.7,20,lane-change
i80,0500-0515,315,47.9,20,lane-change
i80,0500-0515,529,48.5,20,lane-change
i80,0400-0415,115,48.8,20,lane-change
i80,0500-0515,351,49.8,20,lane-change
i80,0400-0415,41,49.9,20,lane-change
i80,0500-0515,454,50.1,20,lane-change
i80,0500-0515,369,50.3,20,lane-change
i80,0500-0515,2866,50.3,20,lane-change
i80,0500-0515,2866,50.4,20,cutoff
i80,0500-0515,547,51.1,20,lane-change
i80,0500-0515,491,51.5,20,lane-change
i80,0500-0515,460,51.7,20,lane-change
i80,0400-0415,46,51.9,20,lane-change
i80,0400-0415,115,52.0,20,lane-change
i80,0500-0515,480,52.1,20,cutoff
i80,0500-0515,461,52.6,20,lane-change
i80,0500-0515,477,52.7,20,cutoff
i80,0400-0415,32,52.8,20,lane-change
i80,0500-0515,547,54.900000000000006,20,lane-change
i80,0400-0415,115,54.900000000000006,20,lane-change
i80,0500-0515,476,55.099999999999994,20,lane-change
i80,0500-0515,501,55.099999999999994,20,lane-change
i80,0500-0515,509,55.099999999999994,20,lane-change
i80,0500-0515,491,55.7,20,lane-change
i80,0500-0515,362,56.2,20,lane-change
i80,0500-0515,369,56.400000000000006,20,lane-change
i80,0400-0415,121,56.400000000000006,20,lane-change
i80,0500-0515,468,57.900000000000006,20,cutoff
i80,0500-0515,547,58.2,20,lane-change
i80,0500-0515,494,58.400000000000006,20,lane-change
i80,0500-0515,476,59.3,20,lane-change
i80,0500-0515,490,59.5,20,lane-change
i80,0500-0515,515,60.099999999999994,20,lane-change
i80,0400-0415,144,60.099999999999994,20,lane-change
i80,0500-0515,503,60.599999999999994,20,lane-change
i80,0400-0415,60,61.099999999999994,20,lane-change
i80,0500-0515,517,61.8,20,lane-change
i80,0500-0515,490,62.0,20,lane-change
i80,0500-0515,526,62.900000000000006,20,lane-change
i80,0500-0515,515,63.0,20,lane-change
i80,0500-0515,541,63.7,20,lane-change
i80,0500-0515,504,64.7,20,lane-change
i80,0500-0515,583,64.9,20,lane-change
i80,0500-0515,515,65.1,20,overtake
i80,0500-0515,559,65.4,20,lane-change
i80,0400-0415,165,65.4,20,lane-change
i80,0500-0515,522,66.4,20,lane-change
i80,0500-0515,490,66.5,20,lane-change
i80,0500-0515,562,66.5,20,cutoff
i80,0400-0415,169,66.5,20,lane-change
i80,0500-0515,515,67.3,20,lane-change
i80,0500-0515,494,68.0,20,lane-change
i80,0500-0515,522,68.1,20,lane-change
i80,0400-0415,169,68.1,20,lane-change
i80,0515-0530,21,68.7,20,lane-change
i80,0500-0515,517,69.0,20,lane-change
i80,0500-0515,515,69.3,20,lane-change
i80,0500-0515,546,69.4,20,lane-change
i80,0500-0515,522,70.0,20,lane-change
i80,0515-0530,38,70.8,20,lane-change
i80,0400-0415,142,71.1,20,lane-change
i80,0500-0515,545,71.2,20,cutoff
i80,0500-0515,522,71.4,20,overtake
i80,0500-0515,556,71.7,20,lane-change
i80,0400-0415,60,72.1,20,lane-change
i80,0500-0515,515,72.3,20,overtake
i80,0500-0515,578,72.4,20,lane-change
i80,0400-0415,90,72.7,20,lane-change
i80,0400-0415,124,72.7,20,lane-change
i80,0400-0415,210,72.9,20,lane-change
i80,0515-0530,38,73.1,20,lane-change
i80,0400-0415,112,73.3,20,lane-change
i80,0400-0415,173,73.5,20,lane-change
i80,0500-0515,544,73.9,20,lane-change
i80,0500-0515,522,74.4,20,lane-change
i80,0500-0515,581,74.4,20,lane-change
i80,0500-0515,2866,74.5,20,lane-change
i80,0400-0415,192,74.5,20,lane-change
i80,0500-0515,498,74.7,20,cutoff
i80,0500-0515,595,75.0,20,lane-change
i80,0400-0415,194,75.4,20,lane-change
i80,0500-0515,494,75.9,20,lane-change
i80,0500-0515,579,76.4,20,lane-change
i80,0400-0415,140,76.4,20,lane-change
i80,0500-0515,538,77.2,20,lane-change
i80,0500-0515,548,78.5,20,lane-change
i80,0400-0415,50,78.6,20,lane-change
i80,0500-0515,535,79.0,20,lane-change
i80,0400-0415,149,79.3,20,lane-change
i80,0400-0415,100,79.6,20,lane-change
i80,0400-0415,162,79.7,20,lane-change
i80,0400-0415,175,79.8,20,lane-change
i80,0500-0515,515,79.9,20,lane-change
i80,0500-0515,599,81.0,20,lane-change
i80,0400-0415,45,81.3,20,lane-change
i80,0400-0415,67,81.7,20,lane-change
i80,0400-0415,194,81.8,20,lane-change
i80,0400-0415,142,82.4,20,lane-change
i80,0500-0515,546,82.5,20,lane-change
i80,0500-0515,530,82.6,20,lane-change
i80,0515-0530,3,83.2,20,lane-change
i80,0500-0515,515,83.7,20,lane-change
i80,0400-0415,211,84.3,20,lane-change
i80,0500-0515,553,84.4,20,lane-change
i80,0400-0415,183,84.6,20,lane-change
i80,0500-0515,515,84.9,20,overtake
i80,0400-0415,159,85.2,20,lane-change
i80,0500-0515,518,86.0,20,cutoff
i80,0500-0515,477,86.4,20,lane-change
i80,0500-0515,595,86.8,20,lane-change
i80,0500-0515,595,86.9,20,cutoff
i80,0500-0515,583,87.0,20,lane-change
i80,0500-0515,626,87.4,20,lane-change
i80,0400-0415,13,87.6,20,lane-change
i80,0400-0415,81,87.6,20,lane-change
i80,0400-0415,50,87.7,20,cutoff
i80,0500-0515,652,87.9,20,lane-change
i80,0400-0415,186,88.0,20,lane-change
i80,0400-0415,230,88.2,20,lane-change
i80,0400-0415,210,89.7,20,lane-change
i80,0400-0415,156,90.0,20,lane-change
i80,0500-0515,611,90.6,20,lane-change
i80,0500-0515,546,90.8,20,lane-change
i80,0400-0415,202,91.0,20,lane-change
i80,0400-0415,67,91.2,20,lane-change
i80,0400-0415,315,92.0,20,lane-change
i80,0515-0530,10,92.2,20,lane-change
i80,0500-0515,625,92.2,20,lane-change
i80,0400-0415,186,92.2,20,lane-change
i80,0400-0415,183,92.6,20,lane-change
i80,0400-0415,159,92.9,20,lane-change
i80,0400-0415,185,93.1,20,lane-change
i80,0500-0515,621,93.8,20,lane-change
i80,0400-0415,210,94.1,20,lane-change
i80,0500-0515,484,94.8,20,lane-change
i80,0500-0515,605,95.3,20,lane-change
i80,0500-0515,556,96.2,20,lane-change
i80,0400-0415,50,96.4,20,lane-change
i80,0515-0530,126,97.0,20,lane-change
i80,0400-0415,287,97.0,20,lane-change
i80,0500-0515,622,97.1,20,lane-change
i80,0515-0530,109,97.2,20,lane-change
i80,0400-0415,186,97.2,30,overtake
i80,0500-0515,615,98.0,20,lane-change
i80,0515-0530,23,98.3,20,lane-change
i80,0500-0515,659,98.8,20,lane-change
i80,0500-0515,673,99.1,20,lane-change
i80,0400-0415,240,99.1,20,lane-change
i80,0515-0530,21,99.8,20,lane-change
i80,0400-0415,188,100.2,20,lane-change
i80,0400-0415,252,100.8,20,lane-change
i80,0500-0515,650,101.6,20,lane-change
i80,0400-0415,102,101.6,20,lane-change
i80,0500-0515,611,102.0,20,lane-change
i80,0500-0515,620,102.1,20,lane-change
i80,0500-0515,633,102.1,20,lane-change
